Year,Units,Value
2000,%,5.19
2001,%,2.57
2002,%,4.93
2003,%,3.82
2004,%,6.26
2005,%,3.87
2006,%,5.41
2007,%,5.93
2008,%,5.67
2009,%,-2.52
2010,%,1.7
2011,%,2.18
2012,%,0.72
2013,%,4.15
2014,%,2.91
2015,%,4.67
2016,%,4.46
2017,%,4.23
2018,%,3.42
