Year,Series,Value
2018,Broj lokalnih samouprava (broj),143
2019,Broj lokalnih samouprava (broj),143
2018,Broj lokalnih samouprava koje usvajaju i provode lokalne strategije smanjenja rizika od katastrofa u skladu s nacionalnim strategijama (broj),0
2019,Broj lokalnih samouprava koje usvajaju i provode lokalne strategije smanjenja rizika od katastrofa u skladu s nacionalnim strategijama (broj),0
2018,Udio lokalnih samouprava koje usvajaju i provode lokalne strategije smanjenja rizika od katastrofa u skladu s nacionalnim strategijama smanjenja rizika od katastrofe (%),0
2019,Udio lokalnih samouprava koje usvajaju i provode lokalne strategije smanjenja rizika od katastrofa u skladu s nacionalnim strategijama smanjenja rizika od katastrofe (%),0
