Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ALP,ALP,ALP,ALP,3,1
BIM,BIM,BIM,BIM,3,1
COL,COL,COL,COL,3,1
CPR,CPR,CPR,CPR,3,1
CRO,CRO,CRO,CRO,3,1
FEO,FEO,FEO,FEO,3,1
FOF,FOF,FOF,FOF,3,1
GAS,GAS,GAS,GAS,3,1
GBO,GBO,GBO,GBO,3,1
MEO,MEO,MEO,MEO,3,1
NFO,NFO,NFO,NFO,3,1
NMA,NMA,NMA,NMA,3,1
NMC,NMC,NMC,NMC,3,1
NMM,NMM,NMM,NMM,3,1
PET,PET,PET,PET,3,1
WCH,WCH,WCH,WCH,3,1
WOD,WOD,WOD,WOD,3,1
