Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Both sexes or no breakdown by sex,Oba spola ili bez podjele po spolu,_T,_T,94,24
_U,Unknown,Nepoznato,_U,_U,5,1
_X,Not available,Nije dostupno,_X,_X,2,1
F,Female,Žene,F,F,113,29
M,Male,Muškarci,M,M,108,24
