Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Customs,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine","Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине","Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",1,1
VAT,Porez na dodanu vrijednost,Порез на додану вриједност,Porez na dodanu vrijednost,1,1
