Year,Value,UNIT_MEASURE,SERIES
2000,5.19,Procenat,NY_GDP_PCAP
2001,2.57,Procenat,NY_GDP_PCAP
2002,4.93,Procenat,NY_GDP_PCAP
2003,3.82,Procenat,NY_GDP_PCAP
2004,6.26,Procenat,NY_GDP_PCAP
2005,3.87,Procenat,NY_GDP_PCAP
2006,5.41,Procenat,NY_GDP_PCAP
2007,5.93,Procenat,NY_GDP_PCAP
2008,5.67,Procenat,NY_GDP_PCAP
2009,-2.52,Procenat,NY_GDP_PCAP
2010,1.7,Procenat,NY_GDP_PCAP
2011,2.18,Procenat,NY_GDP_PCAP
2012,0.72,Procenat,NY_GDP_PCAP
2013,4.15,Procenat,NY_GDP_PCAP
2014,2.91,Procenat,NY_GDP_PCAP
2015,4.67,Procenat,NY_GDP_PCAP
2016,4.46,Procenat,NY_GDP_PCAP
2017,4.23,Procenat,NY_GDP_PCAP
2018,3.42,Procenat,NY_GDP_PCAP
