Year,Value,Units
2001,1.083,Na 100 stanovnika
2002,1.2009999999999998,Na 100 stanovnika
2003,2.648,Na 100 stanovnika
2004,3.965,Na 100 stanovnika
2005,15.469000000000001,Na 100 stanovnika
2006,21.326999999999998,Na 100 stanovnika
2007,25.122,Na 100 stanovnika
2008,27.92,Na 100 stanovnika
2009,34.66,Na 100 stanovnika
2010,37.74,Na 100 stanovnika
2011,42.75,Na 100 stanovnika
2012,43.888000000000005,Na 100 stanovnika
2013,45.065,Na 100 stanovnika
2014,48.521,Na 100 stanovnika
2015,49.918,Na 100 stanovnika
2016,52.6,Na 100 stanovnika
2017,60.257,Na 100 stanovnika
2018,64.892,Na 100 stanovnika
2019,70.12,Na 100 stanovnika
