Year,Value,UNIT_MEASURE,SERIES
2000,6.4,Procenat,SL_EMP_PCAP
2001,5.4,Procenat,SL_EMP_PCAP
2002,6.3,Procenat,SL_EMP_PCAP
2003,4.8,Procenat,SL_EMP_PCAP
2004,6.7,Procenat,SL_EMP_PCAP
2005,10.0,Procenat,SL_EMP_PCAP
2006,6.0,Procenat,SL_EMP_PCAP
2007,0.8,Procenat,SL_EMP_PCAP
2008,-4.0,Procenat,SL_EMP_PCAP
2009,-2.0,Procenat,SL_EMP_PCAP
2010,4.3,Procenat,SL_EMP_PCAP
2011,3.1,Procenat,SL_EMP_PCAP
2012,0.1,Procenat,SL_EMP_PCAP
2013,2.1,Procenat,SL_EMP_PCAP
2014,2.0,Procenat,SL_EMP_PCAP
2015,5.1,Procenat,SL_EMP_PCAP
2016,1.2,Procenat,SL_EMP_PCAP
2017,-1.8,Procenat,SL_EMP_PCAP
2018,1.1,Procenat,SL_EMP_PCAP
2019,3.9,Procenat,SL_EMP_PCAP
