Year,Value,UNIT_MEASURE,SERIES
2000,8.81,Procenat,NV_IND_MANF
2001,8.84,Procenat,NV_IND_MANF
2002,9.05,Procenat,NV_IND_MANF
2003,8.98,Procenat,NV_IND_MANF
2004,8.85,Procenat,NV_IND_MANF
2005,9.11,Procenat,NV_IND_MANF
2006,9.88,Procenat,NV_IND_MANF
2007,10.32,Procenat,NV_IND_MANF
2008,10.42,Procenat,NV_IND_MANF
2009,10.15,Procenat,NV_IND_MANF
2010,10.79,Procenat,NV_IND_MANF
2011,10.69,Procenat,NV_IND_MANF
2012,10.69,Procenat,NV_IND_MANF
2013,10.97,Procenat,NV_IND_MANF
2014,11.31,Procenat,NV_IND_MANF
2015,11.67,Procenat,NV_IND_MANF
2016,11.93,Procenat,NV_IND_MANF
2017,12.28,Procenat,NV_IND_MANF
2018,12.43,Procenat,NV_IND_MANF
2019,12.58,Procenat,NV_IND_MANF
2000,250.0,konstantni američki dolari,NV_IND_MANFPC
2001,257.3,konstantni američki dolari,NV_IND_MANFPC
2002,276.5,konstantni američki dolari,NV_IND_MANFPC
2003,284.9,konstantni američki dolari,NV_IND_MANFPC
2004,298.4,konstantni američki dolari,NV_IND_MANFPC
2005,318.8,konstantni američki dolari,NV_IND_MANFPC
2006,364.4,konstantni američki dolari,NV_IND_MANFPC
2007,403.4,konstantni američki dolari,NV_IND_MANFPC
2008,430.3,konstantni američki dolari,NV_IND_MANFPC
2009,430.3,konstantni američki dolari,NV_IND_MANFPC
2010,441.9,konstantni američki dolari,NV_IND_MANFPC
2011,447.0,konstantni američki dolari,NV_IND_MANFPC
2012,450.4,konstantni američki dolari,NV_IND_MANFPC
2013,481.3,konstantni američki dolari,NV_IND_MANFPC
2014,510.6,konstantni američki dolari,NV_IND_MANFPC
2015,551.7,konstantni američki dolari,NV_IND_MANFPC
2016,588.8,konstantni američki dolari,NV_IND_MANFPC
2017,631.4,konstantni američki dolari,NV_IND_MANFPC
2018,667.4,konstantni američki dolari,NV_IND_MANFPC
2019,699.2,konstantni američki dolari,NV_IND_MANFPC
