Year,Value,Units
2000,17,Na 100000 živorođenih
2001,16,Na 100000 živorođenih
2002,14,Na 100000 živorođenih
2003,14,Na 100000 živorođenih
2004,14,Na 100000 živorođenih
2005,13,Na 100000 živorođenih
2006,13,Na 100000 živorođenih
2007,13,Na 100000 živorođenih
2008,11,Na 100000 živorođenih
2009,11,Na 100000 živorođenih
2010,11,Na 100000 živorođenih
2011,10,Na 100000 živorođenih
2012,10,Na 100000 živorođenih
2013,10,Na 100000 živorođenih
2014,10,Na 100000 živorođenih
2015,10,Na 100000 živorođenih
2016,10,Na 100000 živorođenih
2017,10,Na 100000 živorođenih
