Year,SERIES,UNIT_MEASURE,Value
2005,EN_WBE_PMPN,Kvadratnih kilometara,196.802768
2006,EN_WBE_PMPN,Kvadratnih kilometara,199.240905
2007,EN_WBE_PMPN,Kvadratnih kilometara,198.621679
2008,EN_WBE_PMPN,Kvadratnih kilometara,195.98815
2009,EN_WBE_PMPN,Kvadratnih kilometara,196.755711
2010,EN_WBE_PMPN,Kvadratnih kilometara,195.980924
2011,EN_WBE_PMPN,Kvadratnih kilometara,194.373977
2012,EN_WBE_PMPN,Kvadratnih kilometara,192.71718700000002
2013,EN_WBE_PMPN,Kvadratnih kilometara,191.539535
2014,EN_WBE_PMPN,Kvadratnih kilometara,194.156985
2015,EN_WBE_PMPN,Kvadratnih kilometara,196.933384
2016,EN_WBE_PMPN,Kvadratnih kilometara,198.21211
2017,EN_WBE_PMPN,Kvadratnih kilometara,200.734893
2018,EN_WBE_PMPN,Kvadratnih kilometara,203.146127
2005,EN_WBE_PMPR,Procenat,0.384224244140625
2006,EN_WBE_PMPR,Procenat,0.389043779296875
2007,EN_WBE_PMPR,Procenat,0.38789293359375
2008,EN_WBE_PMPR,Procenat,0.38274786328125
2009,EN_WBE_PMPR,Procenat,0.38423414257812494
2010,EN_WBE_PMPR,Procenat,0.3827234375
2011,EN_WBE_PMPR,Procenat,0.37959554882812496
2012,EN_WBE_PMPR,Procenat,0.37637368945312494
2013,EN_WBE_PMPR,Procenat,0.37407662890625
2014,EN_WBE_PMPR,Procenat,0.37920499609375
2015,EN_WBE_PMPR,Procenat,0.38462764257812493
2016,EN_WBE_PMPR,Procenat,0.387125658203125
2017,EN_WBE_PMPR,Procenat,0.39205578515625
2018,EN_WBE_PMPR,Procenat,0.39676751171875
2005,EN_WBE_PMNR,Kvadratnih kilometara,196.722813
2006,EN_WBE_PMNR,Kvadratnih kilometara,199.190415
2007,EN_WBE_PMNR,Kvadratnih kilometara,198.601182
2008,EN_WBE_PMNR,Kvadratnih kilometara,195.966906
2009,EN_WBE_PMNR,Kvadratnih kilometara,196.727881
2010,EN_WBE_PMNR,Kvadratnih kilometara,195.9544
2011,EN_WBE_PMNR,Kvadratnih kilometara,194.352921
2012,EN_WBE_PMNR,Kvadratnih kilometara,192.703329
2013,EN_WBE_PMNR,Kvadratnih kilometara,191.527234
2014,EN_WBE_PMNR,Kvadratnih kilometara,194.152958
2015,EN_WBE_PMNR,Kvadratnih kilometara,196.929353
2016,EN_WBE_PMNR,Kvadratnih kilometara,198.208337
2017,EN_WBE_PMNR,Kvadratnih kilometara,200.732562
2018,EN_WBE_PMNR,Kvadratnih kilometara,203.144966
