Year,SERIES,UNIT_MEASURE,Value
2006,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,0.38408000000000003
2007,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,0.3329
2008,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,0.8925299999999999
2009,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,0.8848600000000001
2010,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,1.2494299999999998
2011,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,1.4480000000000002
2012,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,1.59065
2013,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,2.0950900000000003
2014,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,1.9196099999999998
2015,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,2.17373
2016,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,1.74679
2017,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,2.80534
2018,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima",Američki dolar,4.06615
