Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2016,EN_ATM_PM25,Mikrogrami po kubnom metru,Ukupno,27.25168800354
2016,EN_ATM_PM25,Mikrogrami po kubnom metru,Urbano,29.739595413207997
