Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2007,SI_POV_NAHC,Procenat,Ukupno,18.2
2011,SI_POV_NAHC,Procenat,Ukupno,17.9
2015,SI_POV_NAHC,Procenat,Ukupno,16.9
