Year,Naziv prihoda,Value
a)2019 - 2020 Januar,Porez na dodanu vrijednost,102.68
b)2019 - 2020 Februar,Porez na dodanu vrijednost,108.04
c)2019 - 2020 Mart,Porez na dodanu vrijednost,99.23
d)2019 - 2020 April,Porez na dodanu vrijednost,76.73
e)2019 - 2020 Maj,Porez na dodanu vrijednost,69.59
f)2019 - 2020 Juni,Porez na dodanu vrijednost,93.0
g)2019 - 2020 Juli,Porez na dodanu vrijednost,98.56
h)2019 - 2020 August,Porez na dodanu vrijednost,84.9
i)2019 - 2020 Septembar,Porez na dodanu vrijednost,
j)2019 - 2020 Oktobar,Porez na dodanu vrijednost,
k)2019 - 2020 Novembar,Porez na dodanu vrijednost,
l)2019 - 2020 Decembar,Porez na dodanu vrijednost,
a)2019 - 2020 Januar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",102.24
b)2019 - 2020 Februar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",109.0
c)2019 - 2020 Mart,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",90.08
d)2019 - 2020 April,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",56.7
e)2019 - 2020 Maj,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",63.74
f)2019 - 2020 Juni,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",89.74
g)2019 - 2020 Juli,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",92.66
h)2019 - 2020 August,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",82.75
i)2019 - 2020 Septembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
j)2019 - 2020 Oktobar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
k)2019 - 2020 Novembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
l)2019 - 2020 Decembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
