Year,Units,Group,Starost,Spol,Value
2012,%,Udio žena u dobi od 20 do 24 godine koje su bile u braku ili u zajednici prije 15. godine (%),20-24,Ženski,0.2
2012,%,Udio žena u dobi od 20 do 24 godine koje su bile u braku ili u zajednici prije 18. godine (%),20-24,Ženski,3.5
