Year,SERIES,UNIT_MEASURE,Value
2000,EN_EWT_GENV,Tone,5840.530188
2001,EN_EWT_GENV,Tone,6423.310797
2002,EN_EWT_GENV,Tone,7071.186127
2003,EN_EWT_GENV,Tone,7799.5171
2004,EN_EWT_GENV,Tone,8710.545001
2005,EN_EWT_GENV,Tone,9836.447902000002
2006,EN_EWT_GENV,Tone,10969.259658
2007,EN_EWT_GENV,Tone,12299.791088
2008,EN_EWT_GENV,Tone,14238.835722
2009,EN_EWT_GENV,Tone,16035.974038
2010,EN_EWT_GENV,Tone,17776.63375
2011,EN_EWT_GENV,Tone,19364.73607
2012,EN_EWT_GENV,Tone,20781.265121
2013,EN_EWT_GENV,Tone,21973.322746
2014,EN_EWT_GENV,Tone,23098.780528
2015,EN_EWT_GENV,Tone,24104.988606
2016,EN_EWT_GENV,Tone,24949.927958
2017,EN_EWT_GENV,Tone,25790.573868
2018,EN_EWT_GENV,Tone,26483.708202
2019,EN_EWT_GENV,Tone,27293.116197
2000,EN_EWT_GENPCAP,Kilogrami,1.550446
2001,EN_EWT_GENPCAP,Kilogrami,1.703344
2002,EN_EWT_GENPCAP,Kilogrami,1.872666
2003,EN_EWT_GENPCAP,Kilogrami,2.06391
2004,EN_EWT_GENPCAP,Kilogrami,2.303768
2005,EN_EWT_GENPCAP,Kilogrami,2.600859
2006,EN_EWT_GENPCAP,Kilogrami,2.902688
2007,EN_EWT_GENPCAP,Kilogrami,3.259086
2008,EN_EWT_GENPCAP,Kilogrami,3.7829
2009,EN_EWT_GENPCAP,Kilogrami,4.279683
2010,EN_EWT_GENPCAP,Kilogrami,4.776097
2011,EN_EWT_GENPCAP,Kilogrami,5.249319
2012,EN_EWT_GENPCAP,Kilogrami,5.696619
2013,EN_EWT_GENPCAP,Kilogrami,6.095235
2014,EN_EWT_GENPCAP,Kilogrami,6.477504
2015,EN_EWT_GENPCAP,Kilogrami,6.817022
2016,EN_EWT_GENPCAP,Kilogrami,7.094094
2017,EN_EWT_GENPCAP,Kilogrami,7.354027
2018,EN_EWT_GENPCAP,Kilogrami,7.558136
2019,EN_EWT_GENPCAP,Kilogrami,7.79358
2014,EN_EWT_RCYV,Tone,1108.73
2015,EN_EWT_RCYV,Tone,1157.02
2016,EN_EWT_RCYV,Tone,1197.58
2017,EN_EWT_RCYV,Tone,1237.93
2018,EN_EWT_RCYV,Tone,1271.2
2019,EN_EWT_RCYV,Tone,1310.05
2014,EN_EWT_RCYPCAP,Kilogrami,0.318407021497909
2015,EN_EWT_RCYPCAP,Kilogrami,0.337387641782932
2016,EN_EWT_RCYPCAP,Kilogrami,0.353658566094836
2017,EN_EWT_RCYPCAP,Kilogrami,0.36936262469663106
2018,EN_EWT_RCYPCAP,Kilogrami,0.382439398976331
2019,EN_EWT_RCYPCAP,Kilogrami,0.39686557974285297
2014,EN_EWT_RCYR,Procenat,4.799937
2008,EN_HAZ_GENV,Tone,10588.0
2009,EN_HAZ_GENV,Tone,9632.0
2010,EN_HAZ_GENV,Tone,10320.0
2012,EN_HAZ_GENV,Tone,945923.0
2014,EN_HAZ_GENV,Tone,8408.0
2008,EN_HAZ_PCAP,Kilogrami,2.813265
2009,EN_HAZ_PCAP,Kilogrami,2.570891
2010,EN_HAZ_PCAP,Kilogrami,2.77264
2012,EN_HAZ_PCAP,Kilogrami,259.284853
2014,EN_HAZ_PCAP,Kilogrami,2.414631
2008,EN_HAZ_GENGDP,Kilogrami po konstanti američkog dolara,0.000682840355
2010,EN_HAZ_GENGDP,Kilogrami po konstanti američkog dolara,0.00068021727
2012,EN_HAZ_GENGDP,Kilogrami po konstanti američkog dolara,0.06227224396599999
2014,EN_HAZ_GENGDP,Kilogrami po konstanti američkog dolara,0.000534657159
