Year,Value,UNIT_MEASURE,SERIES
2000,146.07558,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2001,118.86707,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2002,265.17368999999997,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2003,381.05307,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2004,511.18617,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2005,351.18582000000004,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2006,554.69003,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2007,1819.24423,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2008,1001.64769,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2009,249.9485,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2010,406.08909,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2011,496.52508,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2012,394.87324,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2013,276.36172,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2014,550.1991,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2015,361.14013,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2016,319.00527999999997,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2017,448.12862,Američki dolar,Prilivi stranih izravnih investicija (SDI)
2018,467.73305999999997,Američki dolar,Prilivi stranih izravnih investicija (SDI)
