Year,Value,UNIT_MEASURE,SERIES
2000,0.50427,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2001,0.93125,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2002,0.13714,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2003,0.25945999999999997,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2004,0.23321,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2005,0.1206,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2006,0.14395,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2007,0.10574000000000001,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2008,0.0942,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2009,0.06307,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2010,0.14942,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2011,0.18137999999999999,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2012,0.27539,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2013,0.16629000000000002,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2014,0.09827000000000001,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2015,0.26383,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2016,0.16277,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2017,0.13437000000000002,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
2018,0.07866000000000001,Postotak,Zvanični grantovi za razvojnu pomoć za smanjenje siromaštva po zemljama primateljima (postotak BND-a)
