Year,Value,UNIT_MEASURE,SERIES
2018,33.8574563463529,Postotak,Opseg uporabe državnih okvira rezultata i alata za planiranje od strane pružatelja razvojne suradnje - podaci prema primatelju (%)
2018,53.42465639114371,Postotak,Udio novih razvojnih intervencija izvučenih iz okvira rezultata koje vode zemlje - podaci prema primatelju
2018,22.897727787494603,Postotak,Udio pokazatelja rezultata izvučenih iz okvira rezultata koje vode zemlje - podaci prema primatelju (%)
2018,25.2499848604202,Postotak,Udio pokazatelja rezultata koji će se pratiti pomoću državnih izvora i sustava praćenja - podaci po primatelju (%)
