Year,Value,UNIT_MEASURE,SERIES
2006,0.38408000000000003,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2007,0.3329,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2008,0.8925299999999999,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2009,0.8848600000000001,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2010,1.2494299999999998,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2011,1.4480000000000002,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2012,1.59065,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2013,2.0950900000000003,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2014,1.9196099999999998,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2015,2.17373,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2016,1.74679,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2017,2.80534,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
2018,4.06615,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primateljima"
