Year,SERIES,UNIT_MEASURE,Value
2006,"Total official flows for scholarships, by recipient countries",USD,0.38408000000000003
2007,"Total official flows for scholarships, by recipient countries",USD,0.3329
2008,"Total official flows for scholarships, by recipient countries",USD,0.8925299999999999
2009,"Total official flows for scholarships, by recipient countries",USD,0.8848600000000001
2010,"Total official flows for scholarships, by recipient countries",USD,1.2494299999999998
2011,"Total official flows for scholarships, by recipient countries",USD,1.4480000000000002
2012,"Total official flows for scholarships, by recipient countries",USD,1.59065
2013,"Total official flows for scholarships, by recipient countries",USD,2.0950900000000003
2014,"Total official flows for scholarships, by recipient countries",USD,1.9196099999999998
2015,"Total official flows for scholarships, by recipient countries",USD,2.17373
2016,"Total official flows for scholarships, by recipient countries",USD,1.74679
2017,"Total official flows for scholarships, by recipient countries",USD,2.80534
2018,"Total official flows for scholarships, by recipient countries",USD,4.06615
