Year,SERIES,UNIT_MEASURE,Value
2005,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,196.802768
2006,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,199.240905
2007,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,198.621679
2008,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,195.98815
2009,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,196.755711
2010,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,195.980924
2011,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,194.373977
2012,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,192.71718700000002
2013,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,191.539535
2014,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,194.156985
2015,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,196.933384
2016,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,198.21211
2017,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,200.734893
2018,Water body extent (permanent and maybe permanent) (square kilometres),Square kilometers,203.146127
2005,Water body extent (permanent) (% of total land area),Percent,0.384224244140625
2006,Water body extent (permanent) (% of total land area),Percent,0.389043779296875
2007,Water body extent (permanent) (% of total land area),Percent,0.38789293359375
2008,Water body extent (permanent) (% of total land area),Percent,0.38274786328125
2009,Water body extent (permanent) (% of total land area),Percent,0.38423414257812494
2010,Water body extent (permanent) (% of total land area),Percent,0.3827234375
2011,Water body extent (permanent) (% of total land area),Percent,0.37959554882812496
2012,Water body extent (permanent) (% of total land area),Percent,0.37637368945312494
2013,Water body extent (permanent) (% of total land area),Percent,0.37407662890625
2014,Water body extent (permanent) (% of total land area),Percent,0.37920499609375
2015,Water body extent (permanent) (% of total land area),Percent,0.38462764257812493
2016,Water body extent (permanent) (% of total land area),Percent,0.387125658203125
2017,Water body extent (permanent) (% of total land area),Percent,0.39205578515625
2018,Water body extent (permanent) (% of total land area),Percent,0.39676751171875
2005,Water body extent (permanent) (square kilometres),Square kilometers,196.722813
2006,Water body extent (permanent) (square kilometres),Square kilometers,199.190415
2007,Water body extent (permanent) (square kilometres),Square kilometers,198.601182
2008,Water body extent (permanent) (square kilometres),Square kilometers,195.966906
2009,Water body extent (permanent) (square kilometres),Square kilometers,196.727881
2010,Water body extent (permanent) (square kilometres),Square kilometers,195.9544
2011,Water body extent (permanent) (square kilometres),Square kilometers,194.352921
2012,Water body extent (permanent) (square kilometres),Square kilometers,192.703329
2013,Water body extent (permanent) (square kilometres),Square kilometers,191.527234
2014,Water body extent (permanent) (square kilometres),Square kilometers,194.152958
2015,Water body extent (permanent) (square kilometres),Square kilometers,196.929353
2016,Water body extent (permanent) (square kilometres),Square kilometers,198.208337
2017,Water body extent (permanent) (square kilometres),Square kilometers,200.732562
2018,Water body extent (permanent) (square kilometres),Square kilometers,203.144966
