Year,SERIES,UNIT_MEASURE,Value
2000,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,19.58084
2001,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,38.82584
2002,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,9.64236
2003,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,13.74311
2004,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,42.03058
2005,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,20.24693
2006,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,15.9279
2007,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,16.63345
2008,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,14.332189999999999
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,17.654629999999997
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,28.460990000000002
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,43.36911
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,43.072140000000005
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,37.56426
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,43.50735
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,69.22511999999999
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,69.22511999999999
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,49.60147
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",USD,16.604770000000002
