Year,SERIES,UNIT_MEASURE,Врста производа,Value
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.3835599999999997
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.42138
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,1.9587400000000001
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,1.9873900000000002
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.0589
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.23034
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.25743
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.3744400000000003
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.59746
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.54557
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.94266
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.1303400000000003
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.0542
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.5599
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.4430699999999996
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.41609
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.4500800000000003
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.87561
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,4.01914
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,4.15315
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.33847
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43254
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.49518999999999996
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.30454000000000003
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.54362
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.52028
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.5151399999999999
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.38189
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.52663
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.5294300000000001
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43445
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43745
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.34984
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.48102
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43713
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44109
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44373
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44522
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.78252
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.96035
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.91005
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.70382
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.16575
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.13724
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.0991
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.9999899999999999
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.12432
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.10228
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.02572
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.03314
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.9197700000000001
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.11168
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.11168
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.1031799999999998
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.12427
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.1425299999999998
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.09637000000000001
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.07
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.23643000000000003
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.07191
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.09727000000000001
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.51046
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.54694
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.5303
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.64051
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.62278
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.22601
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.28901
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.26200999999999997
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.36324
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.3897
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.42133000000000004
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.45208999999999994
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.4819
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.3088
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.31477
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.37475
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.53438
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.62888
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.73894
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.98715
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.96034
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.40927
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.6106800000000003
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.54872
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.54872
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.07718
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.9123
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.8677300000000003
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.32493
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.48257
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.62956
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04529
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.0296
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.02797
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.03653
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.05754
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.06833
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07193
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07612999999999999
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07576000000000001
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.043410000000000004
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04584
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.05264
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04902
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.038610000000000005
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.0363
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.045860000000000005
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.045939999999999995
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04589
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.057339999999999995
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.01722
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00274
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00314
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00411
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.03204
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.09852999999999999
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20202
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.16985
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.17390999999999998
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.24879
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.23406
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20314000000000002
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20697
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20814000000000002
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.22899999999999998
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.24944000000000002
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.26938
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.16399
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.09387000000000001
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.07503
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.23986
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.27573000000000003
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.76364
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73469
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.6991
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.8780100000000001
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.74851
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.46251000000000003
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.52544
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.50998
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.60932
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.60614
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.6509999999999999
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.69447
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73645
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.06762
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.02386
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.01888
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.16795
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.17845999999999998
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.25318
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.18775
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.1688
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.23749
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.12573
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.2365
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.23643000000000003
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24796999999999997
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24609
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.21644000000000002
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.22966999999999999
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24238
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.25455
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.18913
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.25289
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.22996999999999998
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.12542999999999999
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.17804
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.26178
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.44653999999999994
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.60988
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.62429
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.52175
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.40621999999999997
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.50838
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.5100399999999999
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.44764
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.50547
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.53689
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.56709
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.59602
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,1.70268
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,1.87307
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,2.24856
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.8150199999999996
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.30196
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,2.54502
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.153
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.49718
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.75915
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.62215
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.78413
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.5870300000000004
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.8206800000000003
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,4.30092
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,4.68823
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.01912
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.33908
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.64745
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,1.8918099999999998
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.12596
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.47853
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.94044
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.48001
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.8068
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.59954
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.107069999999999
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.38344
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.1439
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.19035
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.09541
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.3307199999999995
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.7485599999999994
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.1937
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.55601
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.90616
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,6.243469999999999
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.30478
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.29778000000000004
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.28789000000000003
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.26750999999999997
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.31390999999999997
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.29618
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.31777
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.33863000000000004
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.39085
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.43693000000000004
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.44866999999999996
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.46463999999999994
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.42021000000000003
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.41303999999999996
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.38839
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.40346
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.41748
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.43051000000000006
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00225
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.0023
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00296
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.0031100000000000004
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00361
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.004079999999999999
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00296
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00292
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.0029100000000000003
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00271
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00245
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00225
