Year,SERIES,UNIT_MEASURE,Value
2002,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,0.85082
2003,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,0.38036
2004,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,4.59425
2005,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,0.6276
2006,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,1.7458200000000001
2007,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,0.8881399999999999
2008,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,3.65444
2009,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,4.51277
2010,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,12.36201
2011,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,1.1542700000000001
2012,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,2.69066
2013,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,1.2264700000000002
2014,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,1.52332
2015,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,0.72172
2016,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,4.0889999999999995
2017,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,19.06079
2018,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима",константни амерички долари,11.49886
