Year,SERIES,UNIT_MEASURE,Value
2006,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,0.38408000000000003
2007,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,0.3329
2008,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,0.8925299999999999
2009,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,0.8848600000000001
2010,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,1.2494299999999998
2011,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,1.4480000000000002
2012,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,1.59065
2013,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,2.0950900000000003
2014,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,1.9196099999999998
2015,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,2.17373
2016,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,1.74679
2017,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,2.80534
2018,"Укупни званични токови стипендија, према земљама примаоцима",Амерички долар,4.06615
