Year,Units,Value
2000,На 100000 живорођених,17
2001,На 100000 живорођених,16
2002,На 100000 живорођених,14
2003,На 100000 живорођених,14
2004,На 100000 живорођених,14
2005,На 100000 живорођених,13
2006,На 100000 живорођених,13
2007,На 100000 живорођених,13
2008,На 100000 живорођених,11
2009,На 100000 живорођених,11
2010,На 100000 живорођених,11
2011,На 100000 живорођених,10
2012,На 100000 живорођених,10
2013,На 100000 живорођених,10
2014,На 100000 живорођених,10
2015,На 100000 живорођених,10
2016,На 100000 живорођених,10
2017,На 100000 живорођених,10
