Year,Units,Group,Старост,Пол,Value
2012,%,Удио жена у доби од 20 до 24 године које су биле у браку или у заједници прије 15. године (%),20-24,Женски,0.2
2012,%,Удио жена у доби од 20 до 24 године које су биле у браку или у заједници прије 18. године (%),20-24,Женски,3.5
