Year,Series,Value
2017,Број локалних самоуправа (број),143
2018,Број локалних самоуправа (број),143
2017,Број локалних самоуправа које усвајају и проводе локалне стратегије смањења ризика од катастрофа у складу с националним стратегијама (број),0
2018,Број локалних самоуправа које усвајају и проводе локалне стратегије смањења ризика од катастрофа у складу с националним стратегијама (број),0
2017,Удио локалних самоуправа које усвајају и проводе локалне стратегије смањења ризика од катастрофа у складу с националним стратегијама смањења ризика од катастрофе (%),0
2018,Удио локалних самоуправа које усвајају и проводе локалне стратегије смањења ризика од катастрофа у складу с националним стратегијама смањења ризика од катастрофе (%),0
