Year,Units,Value
2001,На 100 становника,1.083
2002,На 100 становника,1.2009999999999998
2003,На 100 становника,2.648
2004,На 100 становника,3.965
2005,На 100 становника,15.469000000000001
2006,На 100 становника,21.326999999999998
2007,На 100 становника,25.122
2008,На 100 становника,27.92
2009,На 100 становника,34.66
2010,На 100 становника,37.74
2011,На 100 становника,42.75
2012,На 100 становника,43.888000000000005
2013,На 100 становника,45.065
2014,На 100 становника,48.521
2015,На 100 становника,49.918
2016,На 100 становника,52.6
2017,На 100 становника,60.257
2018,На 100 становника,64.892
2019,На 100 становника,70.12
