Year,Units,Value
2003,%,83.47171
2004,%,86.24788000000001
2005,%,59.636469999999996
2006,%,61.56456
2007,%,57.82445
2008,%,51.96723
2009,%,46.89452
2010,%,49.15388
2011,%,51.64659
2012,%,50.37305
2013,%,49.38217
2014,%,48.5627
2015,%,53.03225
2016,%,54.53435
2017,%,56.920519999999996
2018,%,56.81211999999999
