Year,Value,UNIT_MEASURE,SERIES
2000,9.0118,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2001,5.3438300000000005,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2002,5.43791,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2003,9.14858,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2004,4.5776900000000005,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2005,4.83248,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2006,18.164820000000002,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2007,11.42505,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2008,6.98618,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2009,2.6198099999999998,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2010,7.80168,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2011,6.04845,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2012,6.62092,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2013,5.5622,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2014,10.998330000000001,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2015,5.19602,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2016,37.98346,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2017,36.070859999999996,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
2018,13.08596,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries"
