Year,Value,Units
2001,,%
2002,,%
2003,,%
2004,,%
2005,,%
2006,,%
2007,,%
2008,,%
2009,,%
2010,,%
2011,,%
2012,,%
2013,,%
2014,,%
2015,,%
2016,7.6,%
2017,,%
2018,7.6,%
2019,,%
2020,,%
