Year,Value,Units
2001,1.083,На 100 становника
2002,1.2009999999999998,На 100 становника
2003,2.648,На 100 становника
2004,3.965,На 100 становника
2005,15.469000000000001,На 100 становника
2006,21.326999999999998,На 100 становника
2007,25.122,На 100 становника
2008,27.92,На 100 становника
2009,34.66,На 100 становника
2010,37.74,На 100 становника
2011,42.75,На 100 становника
2012,43.888000000000005,На 100 становника
2013,45.065,На 100 становника
2014,48.521,На 100 становника
2015,49.918,На 100 становника
2016,52.6,На 100 становника
2017,60.257,На 100 становника
2018,64.892,На 100 становника
2019,70.12,На 100 становника
