Year,Value,UNIT_MEASURE,SERIES
2018,33.8574563463529,Проценат,Опсег употребе државних оквира резултата и алата за планирање од стране пружалаца развојне сарадње - подаци према примаоцу (%)
2018,53.42465639114371,Проценат,Удио нових развојних интервенција извучених из оквира резултата које воде земље - подаци према примаоцу
2018,22.897727787494603,Проценат,Удио показатеља резултата извучених из оквира резултата које воде земље - подаци према примаоцу (%)
2018,25.2499848604202,Проценат,Удио индикатора резултата који ће се пратити помоћу државних извора и система праћења - подаци по примаоцу (%)
