Year,Value,Units
2000,17,На 100000 живорођених
2001,16,На 100000 живорођених
2002,14,На 100000 живорођених
2003,14,На 100000 живорођених
2004,14,На 100000 живорођених
2005,13,На 100000 живорођених
2006,13,На 100000 живорођених
2007,13,На 100000 живорођених
2008,11,На 100000 живорођених
2009,11,На 100000 живорођених
2010,11,На 100000 живорођених
2011,10,На 100000 живорођених
2012,10,На 100000 живорођених
2013,10,На 100000 живорођених
2014,10,На 100000 живорођених
2015,10,На 100000 живорођених
2016,10,На 100000 живорођених
2017,10,На 100000 живорођених
