Year,Value,UNIT_MEASURE,SERIES
2000,28.713852199999998,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2001,26.091817300000002,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2002,22.4884302,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2003,20.7660871,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2004,19.3767629,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2005,18.1568243,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2006,16.7042815,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2007,17.025509200000002,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2008,14.219122500000001,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2009,12.075921600000001,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2010,10.6091171,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2011,10.5028651,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2012,10.714178500000001,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2013,10.7708945,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2014,11.3541369,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2015,11.1100604,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2016,10.9144386,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2017,11.1540444,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
2018,10.5231356,Проценат,Количина дознака (у америчким доларима) као удио у укупном износу БДП-
