Year,Series,Units,Value
2000,SH_ACS_DTP3,% (PERCENT),85.0
2001,SH_ACS_DTP3,% (PERCENT),91.0
2002,SH_ACS_DTP3,% (PERCENT),80.0
2003,SH_ACS_DTP3,% (PERCENT),87.0
2004,SH_ACS_DTP3,% (PERCENT),84.0
2005,SH_ACS_DTP3,% (PERCENT),93.0
2006,SH_ACS_DTP3,% (PERCENT),87.0
2007,SH_ACS_DTP3,% (PERCENT),95.0
2008,SH_ACS_DTP3,% (PERCENT),91.0
2009,SH_ACS_DTP3,% (PERCENT),90.0
2010,SH_ACS_DTP3,% (PERCENT),89.0
2011,SH_ACS_DTP3,% (PERCENT),88.0
2012,SH_ACS_DTP3,% (PERCENT),92.0
2013,SH_ACS_DTP3,% (PERCENT),89.0
2014,SH_ACS_DTP3,% (PERCENT),86.0
2015,SH_ACS_DTP3,% (PERCENT),82.0
2016,SH_ACS_DTP3,% (PERCENT),78.0
2017,SH_ACS_DTP3,% (PERCENT),75.0
2018,SH_ACS_DTP3,% (PERCENT),73.0
2000,SH_ACS_MCV2,% (PERCENT),74.0
2001,SH_ACS_MCV2,% (PERCENT),86.0
2002,SH_ACS_MCV2,% (PERCENT),90.0
2003,SH_ACS_MCV2,% (PERCENT),85.0
2004,SH_ACS_MCV2,% (PERCENT),88.0
2005,SH_ACS_MCV2,% (PERCENT),90.0
2006,SH_ACS_MCV2,% (PERCENT),93.0
2007,SH_ACS_MCV2,% (PERCENT),95.0
2008,SH_ACS_MCV2,% (PERCENT),92.0
2009,SH_ACS_MCV2,% (PERCENT),88.0
2010,SH_ACS_MCV2,% (PERCENT),91.0
2011,SH_ACS_MCV2,% (PERCENT),88.0
2012,SH_ACS_MCV2,% (PERCENT),94.0
2013,SH_ACS_MCV2,% (PERCENT),93.0
2014,SH_ACS_MCV2,% (PERCENT),92.0
2015,SH_ACS_MCV2,% (PERCENT),88.0
2016,SH_ACS_MCV2,% (PERCENT),78.0
2017,SH_ACS_MCV2,% (PERCENT),80.0
2018,SH_ACS_MCV2,% (PERCENT),76.0
