Year,Series,Units,Value
2012,ER_CBD_PTYPGRFA,NUMBER,0.0
2013,ER_CBD_PTYPGRFA,NUMBER,0.0
2014,ER_CBD_PTYPGRFA,NUMBER,0.0
2015,ER_CBD_PTYPGRFA,NUMBER,0.0
2016,ER_CBD_PTYPGRFA,NUMBER,0.0
2017,ER_CBD_PTYPGRFA,NUMBER,0.0
2018,ER_CBD_PTYPGRFA,NUMBER,0.0
2019,ER_CBD_PTYPGRFA,NUMBER,0.0
2012,ER_CBD_NAGOYA,NUMBER,0.0
2016,ER_CBD_ORSPGRFA,NUMBER,0.0
2017,ER_CBD_ORSPGRFA,NUMBER,0.0
2018,ER_CBD_ORSPGRFA,NUMBER,0.0
2019,ER_CBD_ORSPGRFA,NUMBER,0.0
2012,ER_CBD_ABSCLRHS,NUMBER,0.0
2012,ER_CBD_SMTA,NUMBER,2.0
2013,ER_CBD_SMTA,NUMBER,2.0
2014,ER_CBD_SMTA,NUMBER,2.0
2015,ER_CBD_SMTA,NUMBER,2.0
2016,ER_CBD_SMTA,NUMBER,2.0
2017,ER_CBD_SMTA,NUMBER,2.0
2018,ER_CBD_SMTA,NUMBER,2.0
2019,ER_CBD_SMTA,NUMBER,2.0
