Year,Series,Units,Value
2000,EG_EGY_CLEAN,% (PERCENT),52.0
2001,EG_EGY_CLEAN,% (PERCENT),51.0
2002,EG_EGY_CLEAN,% (PERCENT),51.0
2003,EG_EGY_CLEAN,% (PERCENT),50.0
2004,EG_EGY_CLEAN,% (PERCENT),50.0
2005,EG_EGY_CLEAN,% (PERCENT),49.0
2006,EG_EGY_CLEAN,% (PERCENT),48.0
2007,EG_EGY_CLEAN,% (PERCENT),47.0
2008,EG_EGY_CLEAN,% (PERCENT),46.0
2009,EG_EGY_CLEAN,% (PERCENT),45.0
2010,EG_EGY_CLEAN,% (PERCENT),44.0
2011,EG_EGY_CLEAN,% (PERCENT),44.0
2012,EG_EGY_CLEAN,% (PERCENT),44.0
2013,EG_EGY_CLEAN,% (PERCENT),43.0
2014,EG_EGY_CLEAN,% (PERCENT),43.0
2015,EG_EGY_CLEAN,% (PERCENT),45.0
2016,EG_EGY_CLEAN,% (PERCENT),44.0
2017,EG_EGY_CLEAN,% (PERCENT),44.0
2018,EG_EGY_CLEAN,% (PERCENT),45.0
