Year,Series,Units,Type of product,Value
2005,TM_TAX_WMFN,% (PERCENT),AGR,15.79
2010,TM_TAX_WMFN,% (PERCENT),AGR,16.3
2015,TM_TAX_WMFN,% (PERCENT),AGR,15.82
2016,TM_TAX_WMFN,% (PERCENT),AGR,14.04
2017,TM_TAX_WMFN,% (PERCENT),AGR,15.0
2018,TM_TAX_WMFN,% (PERCENT),AGR,15.11
2005,TM_TAX_WMFN,% (PERCENT),ALP,7.91
2010,TM_TAX_WMFN,% (PERCENT),ALP,7.54
2015,TM_TAX_WMFN,% (PERCENT),ALP,7.89
2016,TM_TAX_WMFN,% (PERCENT),ALP,7.48
2017,TM_TAX_WMFN,% (PERCENT),ALP,7.75
2018,TM_TAX_WMFN,% (PERCENT),ALP,8.01
2005,TM_TAX_WMFN,% (PERCENT),ARM,14.28
2005,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2010,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2015,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2016,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2017,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2018,TM_TAX_WMFN,% (PERCENT),CLO,15.0
2005,TM_TAX_WMFN,% (PERCENT),IND,6.06
2010,TM_TAX_WMFN,% (PERCENT),IND,5.61
2015,TM_TAX_WMFN,% (PERCENT),IND,5.96
2016,TM_TAX_WMFN,% (PERCENT),IND,5.69
2017,TM_TAX_WMFN,% (PERCENT),IND,6.03
2018,TM_TAX_WMFN,% (PERCENT),IND,6.03
2005,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2010,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2015,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2016,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2017,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2018,TM_TAX_WMFN,% (PERCENT),OIL,0.0
2005,TM_TAX_WMFN,% (PERCENT),TEX,10.2
2010,TM_TAX_WMFN,% (PERCENT),TEX,9.5
2015,TM_TAX_WMFN,% (PERCENT),TEX,9.23
2016,TM_TAX_WMFN,% (PERCENT),TEX,10.29
2017,TM_TAX_WMFN,% (PERCENT),TEX,9.25
2018,TM_TAX_WMFN,% (PERCENT),TEX,9.25
2005,TM_TAX_WMPS,% (PERCENT),AGR,6.08
2010,TM_TAX_WMPS,% (PERCENT),AGR,3.48
2015,TM_TAX_WMPS,% (PERCENT),AGR,2.18
2016,TM_TAX_WMPS,% (PERCENT),AGR,1.43
2017,TM_TAX_WMPS,% (PERCENT),AGR,2.32
2018,TM_TAX_WMPS,% (PERCENT),AGR,2.41
2005,TM_TAX_WMPS,% (PERCENT),ALP,2.33
2010,TM_TAX_WMPS,% (PERCENT),ALP,1.78
2015,TM_TAX_WMPS,% (PERCENT),ALP,1.32
2016,TM_TAX_WMPS,% (PERCENT),ALP,2.68
2017,TM_TAX_WMPS,% (PERCENT),ALP,1.32
2018,TM_TAX_WMPS,% (PERCENT),ALP,1.38
2005,TM_TAX_WMPS,% (PERCENT),ARM,4.95
2005,TM_TAX_WMPS,% (PERCENT),CLO,6.74
2010,TM_TAX_WMPS,% (PERCENT),CLO,7.94
2015,TM_TAX_WMPS,% (PERCENT),CLO,6.92
2016,TM_TAX_WMPS,% (PERCENT),CLO,8.08
2017,TM_TAX_WMPS,% (PERCENT),CLO,7.03
2018,TM_TAX_WMPS,% (PERCENT),CLO,7.03
2005,TM_TAX_WMPS,% (PERCENT),IND,1.45
2010,TM_TAX_WMPS,% (PERCENT),IND,1.29
2015,TM_TAX_WMPS,% (PERCENT),IND,0.98
2016,TM_TAX_WMPS,% (PERCENT),IND,3.0
2017,TM_TAX_WMPS,% (PERCENT),IND,0.94
2018,TM_TAX_WMPS,% (PERCENT),IND,0.94
2005,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2010,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2015,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2016,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2017,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2018,TM_TAX_WMPS,% (PERCENT),OIL,0.0
2005,TM_TAX_WMPS,% (PERCENT),TEX,2.46
2010,TM_TAX_WMPS,% (PERCENT),TEX,2.58
2015,TM_TAX_WMPS,% (PERCENT),TEX,1.73
2016,TM_TAX_WMPS,% (PERCENT),TEX,5.25
2017,TM_TAX_WMPS,% (PERCENT),TEX,1.78
2018,TM_TAX_WMPS,% (PERCENT),TEX,1.78
