Year,Series,Units,Sex,Value
2009,SI_COV_PENSN,% (PERCENT),BOTHSEX,29.6
2001,SI_COV_UEMP,% (PERCENT),BOTHSEX,1.2
2005,SI_COV_UEMP,% (PERCENT),BOTHSEX,1.6
2007,SI_COV_UEMP,% (PERCENT),BOTHSEX,1.6
2009,SI_COV_UEMP,% (PERCENT),BOTHSEX,2.4
2010,SI_COV_UEMP,% (PERCENT),BOTHSEX,2.6
2011,SI_COV_UEMP,% (PERCENT),BOTHSEX,2.0
2007,SI_COV_LMKT,% (PERCENT),,2.03118
2007,SI_COV_SOCAST,% (PERCENT),,20.50947
2015,SI_COV_SOCAST,% (PERCENT),,17.4175
2007,SI_COV_SOCINS,% (PERCENT),,41.52379
2015,SI_COV_SOCINS,% (PERCENT),,40.16296
