Year,Series,Units,Value
2000,SH_STA_TRAF,PER 100000 POPULATION,18.9
2005,SH_STA_TRAF,PER 100000 POPULATION,17.7
2010,SH_STA_TRAF,PER 100000 POPULATION,16.8
2013,SH_STA_TRAF,PER 100000 POPULATION,15.1
2016,SH_STA_TRAF,PER 100000 POPULATION,15.7
