Year,Series,Units,Age,Sex,Value
2015,AG_PRD_FIESMSI,% (PERCENT),15+,FEMALE,9.61827
2016,AG_PRD_FIESMSI,% (PERCENT),15+,FEMALE,9.06745
2017,AG_PRD_FIESMSI,% (PERCENT),15+,FEMALE,7.78605
2018,AG_PRD_FIESMSI,% (PERCENT),15+,FEMALE,8.17431
2015,AG_PRD_FIESMSI,% (PERCENT),15+,MALE,9.18687
2016,AG_PRD_FIESMSI,% (PERCENT),15+,MALE,10.96086
2017,AG_PRD_FIESMSI,% (PERCENT),15+,MALE,9.20166
2018,AG_PRD_FIESMSI,% (PERCENT),15+,MALE,9.61538
2015,AG_PRD_FIESMSI,% (PERCENT),ALL AGE,BOTHSEX,9.59245
2016,AG_PRD_FIESMSI,% (PERCENT),ALL AGE,BOTHSEX,10.26853
2017,AG_PRD_FIESMSI,% (PERCENT),ALL AGE,BOTHSEX,8.6838
2018,AG_PRD_FIESMSI,% (PERCENT),ALL AGE,BOTHSEX,9.18705
2015,AG_PRD_FIESSI,% (PERCENT),15+,FEMALE,1.36182
2016,AG_PRD_FIESSI,% (PERCENT),15+,FEMALE,1.36499
2017,AG_PRD_FIESSI,% (PERCENT),15+,FEMALE,1.00075
2018,AG_PRD_FIESSI,% (PERCENT),15+,FEMALE,1.17074
2015,AG_PRD_FIESSI,% (PERCENT),15+,MALE,1.72603
2016,AG_PRD_FIESSI,% (PERCENT),15+,MALE,2.09713
2017,AG_PRD_FIESSI,% (PERCENT),15+,MALE,1.53019
2018,AG_PRD_FIESSI,% (PERCENT),15+,MALE,1.55626
2015,AG_PRD_FIESSI,% (PERCENT),ALL AGE,BOTHSEX,1.5382
2016,AG_PRD_FIESSI,% (PERCENT),ALL AGE,BOTHSEX,1.76184
2017,AG_PRD_FIESSI,% (PERCENT),ALL AGE,BOTHSEX,1.32249
2018,AG_PRD_FIESSI,% (PERCENT),ALL AGE,BOTHSEX,1.45702
2015,AG_PRD_FIESMSIN,THOUSANDS,15+,FEMALE,143.90642
2016,AG_PRD_FIESMSIN,THOUSANDS,15+,FEMALE,134.20191
2017,AG_PRD_FIESMSIN,THOUSANDS,15+,FEMALE,114.2907
2018,AG_PRD_FIESMSIN,THOUSANDS,15+,FEMALE,119.12529
2015,AG_PRD_FIESMSIN,THOUSANDS,15+,MALE,130.17484
2016,AG_PRD_FIESMSIN,THOUSANDS,15+,MALE,153.56874
2017,AG_PRD_FIESMSIN,THOUSANDS,15+,MALE,127.783
2018,AG_PRD_FIESMSIN,THOUSANDS,15+,MALE,132.46102
2015,AG_PRD_FIESMSIN,THOUSANDS,ALL AGE,BOTHSEX,329.26817
2016,AG_PRD_FIESMSIN,THOUSANDS,ALL AGE,BOTHSEX,348.00609
2017,AG_PRD_FIESMSIN,THOUSANDS,ALL AGE,BOTHSEX,291.24677
2018,AG_PRD_FIESMSIN,THOUSANDS,ALL AGE,BOTHSEX,305.51409
2015,AG_PRD_FIESSIN,THOUSANDS,15+,FEMALE,20.37518
2016,AG_PRD_FIESSIN,THOUSANDS,15+,FEMALE,20.20242
2017,AG_PRD_FIESSIN,THOUSANDS,15+,FEMALE,14.6899
2018,AG_PRD_FIESSIN,THOUSANDS,15+,FEMALE,17.06139
2015,AG_PRD_FIESSIN,THOUSANDS,15+,MALE,24.45721
2016,AG_PRD_FIESSIN,THOUSANDS,15+,MALE,29.3821
2017,AG_PRD_FIESSIN,THOUSANDS,15+,MALE,21.2497
2018,AG_PRD_FIESSIN,THOUSANDS,15+,MALE,21.43889
2015,AG_PRD_FIESSIN,THOUSANDS,ALL AGE,BOTHSEX,52.79993
2016,AG_PRD_FIESSIN,THOUSANDS,ALL AGE,BOTHSEX,59.70975
2017,AG_PRD_FIESSIN,THOUSANDS,ALL AGE,BOTHSEX,44.35517
2018,AG_PRD_FIESSIN,THOUSANDS,ALL AGE,BOTHSEX,48.45317
