Year,Series,Units,Type of product,Value
2000,EN_MAT_DOMCMPT,TONNES,WCH,8465.0
2001,EN_MAT_DOMCMPT,TONNES,WCH,8679.0
2002,EN_MAT_DOMCMPT,TONNES,WCH,11182.0
2003,EN_MAT_DOMCMPT,TONNES,WCH,11748.0
2004,EN_MAT_DOMCMPT,TONNES,WCH,13649.0
2005,EN_MAT_DOMCMPT,TONNES,WCH,15432.0
2006,EN_MAT_DOMCMPT,TONNES,WCH,11180.0
2007,EN_MAT_DOMCMPT,TONNES,WCH,11029.0
2008,EN_MAT_DOMCMPT,TONNES,WCH,10938.0
2009,EN_MAT_DOMCMPT,TONNES,WCH,10162.0
2010,EN_MAT_DOMCMPT,TONNES,WCH,9106.0
2011,EN_MAT_DOMCMPT,TONNES,WCH,8310.0
2012,EN_MAT_DOMCMPT,TONNES,WCH,8391.0
2013,EN_MAT_DOMCMPT,TONNES,WCH,8855.0
2014,EN_MAT_DOMCMPT,TONNES,WCH,8855.0
2015,EN_MAT_DOMCMPT,TONNES,WCH,8682.0
2016,EN_MAT_DOMCMPT,TONNES,WCH,8510.0
2017,EN_MAT_DOMCMPT,TONNES,WCH,8337.0
2000,EN_MAT_DOMCMPT,TONNES,WOD,2478757.0
2001,EN_MAT_DOMCMPT,TONNES,WOD,2185477.0
2002,EN_MAT_DOMCMPT,TONNES,WOD,2454677.0
2003,EN_MAT_DOMCMPT,TONNES,WOD,2390059.0
2004,EN_MAT_DOMCMPT,TONNES,WOD,1830655.0
2005,EN_MAT_DOMCMPT,TONNES,WOD,1925044.0
2006,EN_MAT_DOMCMPT,TONNES,WOD,2120334.0
2007,EN_MAT_DOMCMPT,TONNES,WOD,1853219.0
2008,EN_MAT_DOMCMPT,TONNES,WOD,2035444.0
2009,EN_MAT_DOMCMPT,TONNES,WOD,1716285.0
2010,EN_MAT_DOMCMPT,TONNES,WOD,1926305.0
2011,EN_MAT_DOMCMPT,TONNES,WOD,2013618.0
2012,EN_MAT_DOMCMPT,TONNES,WOD,2088522.0
2013,EN_MAT_DOMCMPT,TONNES,WOD,2221379.0
2014,EN_MAT_DOMCMPT,TONNES,WOD,2132902.0
2015,EN_MAT_DOMCMPT,TONNES,WOD,1994345.0
2016,EN_MAT_DOMCMPT,TONNES,WOD,1982417.0
2017,EN_MAT_DOMCMPT,TONNES,WOD,1970489.0
