Year,Series,Units,Sex,Value
2000,SH_STA_SCIDEN,NUMBER,BOTHSEX,404
2005,SH_STA_SCIDEN,NUMBER,BOTHSEX,350
2010,SH_STA_SCIDEN,NUMBER,BOTHSEX,298
2015,SH_STA_SCIDEN,NUMBER,BOTHSEX,315
2016,SH_STA_SCIDEN,NUMBER,BOTHSEX,308
2000,SH_STA_SCIDEN,NUMBER,FEMALE,85
2005,SH_STA_SCIDEN,NUMBER,FEMALE,72
2010,SH_STA_SCIDEN,NUMBER,FEMALE,62
2015,SH_STA_SCIDEN,NUMBER,FEMALE,67
2016,SH_STA_SCIDEN,NUMBER,FEMALE,65
2000,SH_STA_SCIDEN,NUMBER,MALE,319
2005,SH_STA_SCIDEN,NUMBER,MALE,278
2010,SH_STA_SCIDEN,NUMBER,MALE,236
2015,SH_STA_SCIDEN,NUMBER,MALE,249
2016,SH_STA_SCIDEN,NUMBER,MALE,243
2000,SH_STA_SCIDE,PER 100000 POPULATION,BOTHSEX,10.7
2005,SH_STA_SCIDE,PER 100000 POPULATION,BOTHSEX,9.3
2010,SH_STA_SCIDE,PER 100000 POPULATION,BOTHSEX,8
2015,SH_STA_SCIDE,PER 100000 POPULATION,BOTHSEX,8.9
2016,SH_STA_SCIDE,PER 100000 POPULATION,BOTHSEX,8.8
2000,SH_STA_SCIDE,PER 100000 POPULATION,FEMALE,4.4
2005,SH_STA_SCIDE,PER 100000 POPULATION,FEMALE,3.7
2010,SH_STA_SCIDE,PER 100000 POPULATION,FEMALE,3.3
2015,SH_STA_SCIDE,PER 100000 POPULATION,FEMALE,3.7
2016,SH_STA_SCIDE,PER 100000 POPULATION,FEMALE,3.6
2000,SH_STA_SCIDE,PER 100000 POPULATION,MALE,17.3
2005,SH_STA_SCIDE,PER 100000 POPULATION,MALE,15
2010,SH_STA_SCIDE,PER 100000 POPULATION,MALE,12.9
2015,SH_STA_SCIDE,PER 100000 POPULATION,MALE,14.3
2016,SH_STA_SCIDE,PER 100000 POPULATION,MALE,14.1
