Year,Series,Units,Value
2000,BX_TRF_PWKR,% (PERCENT),28.7138522
2001,BX_TRF_PWKR,% (PERCENT),26.0918173
2002,BX_TRF_PWKR,% (PERCENT),22.4884302
2003,BX_TRF_PWKR,% (PERCENT),20.7660871
2004,BX_TRF_PWKR,% (PERCENT),19.3767629
2005,BX_TRF_PWKR,% (PERCENT),18.1568243
2006,BX_TRF_PWKR,% (PERCENT),16.7042815
2007,BX_TRF_PWKR,% (PERCENT),17.0255092
2008,BX_TRF_PWKR,% (PERCENT),14.2191225
2009,BX_TRF_PWKR,% (PERCENT),12.0759216
2010,BX_TRF_PWKR,% (PERCENT),10.6091171
2011,BX_TRF_PWKR,% (PERCENT),10.5028651
2012,BX_TRF_PWKR,% (PERCENT),10.7141785
2013,BX_TRF_PWKR,% (PERCENT),10.7708945
2014,BX_TRF_PWKR,% (PERCENT),11.3541369
2015,BX_TRF_PWKR,% (PERCENT),11.1100604
2016,BX_TRF_PWKR,% (PERCENT),10.9144386
2017,BX_TRF_PWKR,% (PERCENT),11.1540444
2018,BX_TRF_PWKR,% (PERCENT),10.5231356
