Year,Units,Value
2000,PER 100000 LIVE BIRTHS,17
2001,PER 100000 LIVE BIRTHS,16
2002,PER 100000 LIVE BIRTHS,14
2003,PER 100000 LIVE BIRTHS,14
2004,PER 100000 LIVE BIRTHS,14
2005,PER 100000 LIVE BIRTHS,13
2006,PER 100000 LIVE BIRTHS,13
2007,PER 100000 LIVE BIRTHS,13
2008,PER 100000 LIVE BIRTHS,11
2009,PER 100000 LIVE BIRTHS,11
2010,PER 100000 LIVE BIRTHS,11
2011,PER 100000 LIVE BIRTHS,10
2012,PER 100000 LIVE BIRTHS,10
2013,PER 100000 LIVE BIRTHS,10
2014,PER 100000 LIVE BIRTHS,10
2015,PER 100000 LIVE BIRTHS,10
2016,PER 100000 LIVE BIRTHS,10
2017,PER 100000 LIVE BIRTHS,11
