Year,Series,Units,Value
2003,GB_POP_SCIERD,PER 1000000 POPULATION,61.59419
2004,GB_POP_SCIERD,PER 1000000 POPULATION,63.42766
2005,GB_POP_SCIERD,PER 1000000 POPULATION,67.1423
2006,GB_POP_SCIERD,PER 1000000 POPULATION,178.23305
2007,GB_POP_SCIERD,PER 1000000 POPULATION,198.03677
2012,GB_POP_SCIERD,PER 1000000 POPULATION,160.13994
2013,GB_POP_SCIERD,PER 1000000 POPULATION,233.86738
2014,GB_POP_SCIERD,PER 1000000 POPULATION,292.38061
2015,GB_POP_SCIERD,PER 1000000 POPULATION,365.22839
2016,GB_POP_SCIERD,PER 1000000 POPULATION,419.99063
2017,GB_POP_SCIERD,PER 1000000 POPULATION,485.42082
2018,GB_POP_SCIERD,PER 1000000 POPULATION,471.2501
