Year,Series,Units,Value
2011,SI_RMT_COST,% (PERCENT),13.9
2015,SI_RMT_COST,% (PERCENT),7.3
2017,SI_RMT_COST,% (PERCENT),6.5
2018,SI_RMT_COST,% (PERCENT),6.9
