Year,Series,Units,Age,Sex,Value
2000,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,364.0
2001,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,334.0
2002,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,310.0
2003,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,293.0
2004,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,280.0
2005,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,269.0
2006,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,259.0
2007,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,249.0
2008,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,237.0
2009,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,225.0
2010,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,213.0
2011,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,200.0
2012,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,189.0
2013,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,179.0
2014,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,170.0
2015,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,161.0
2016,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,153.0
2017,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,146.0
2018,SH_DYN_IMRTN,NUMBER,<1Y,BOTHSEX,138.0
2000,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,157.0
2001,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,144.0
2002,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,134.0
2003,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,126.0
2004,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,120.0
2005,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,116.0
2006,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,111.0
2007,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,107.0
2008,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,103.0
2009,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,98.0
2010,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,93.0
2011,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,87.0
2012,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,83.0
2013,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,78.0
2014,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,75.0
2015,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,71.0
2016,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,67.0
2017,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,64.0
2018,SH_DYN_IMRTN,NUMBER,<1Y,FEMALE,60.0
2000,SH_DYN_IMRTN,NUMBER,<1Y,MALE,207.0
2001,SH_DYN_IMRTN,NUMBER,<1Y,MALE,190.0
2002,SH_DYN_IMRTN,NUMBER,<1Y,MALE,176.0
2003,SH_DYN_IMRTN,NUMBER,<1Y,MALE,167.0
2004,SH_DYN_IMRTN,NUMBER,<1Y,MALE,160.0
2005,SH_DYN_IMRTN,NUMBER,<1Y,MALE,153.0
2006,SH_DYN_IMRTN,NUMBER,<1Y,MALE,148.0
2007,SH_DYN_IMRTN,NUMBER,<1Y,MALE,142.0
2008,SH_DYN_IMRTN,NUMBER,<1Y,MALE,134.0
2009,SH_DYN_IMRTN,NUMBER,<1Y,MALE,127.0
2010,SH_DYN_IMRTN,NUMBER,<1Y,MALE,120.0
2011,SH_DYN_IMRTN,NUMBER,<1Y,MALE,113.0
2012,SH_DYN_IMRTN,NUMBER,<1Y,MALE,106.0
2013,SH_DYN_IMRTN,NUMBER,<1Y,MALE,101.0
