Year,Series,Units,Value
2000,SM_POP_REFG_OR,%,11865
2001,SM_POP_REFG_OR,%,10643
2002,SM_POP_REFG_OR,%,9757
2003,SM_POP_REFG_OR,%,7385
2004,SM_POP_REFG_OR,%,5730
2005,SM_POP_REFG_OR,%,2837
2006,SM_POP_REFG_OR,%,5042
2007,SM_POP_REFG_OR,%,2038
2008,SM_POP_REFG_OR,%,1942
2009,SM_POP_REFG_OR,%,1839
2010,SM_POP_REFG_OR,%,1672
2011,SM_POP_REFG_OR,%,1575
2012,SM_POP_REFG_OR,%,1417
2013,SM_POP_REFG_OR,%,750
2014,SM_POP_REFG_OR,%,625
2015,SM_POP_REFG_OR,%,544
2016,SM_POP_REFG_OR,%,534
2017,SM_POP_REFG_OR,%,525
2018,SM_POP_REFG_OR,%,508
2019,SM_POP_REFG_OR,%,499
