Year,Series,Units,Sex,Value
2006,IC_GEN_MGTL,% (PERCENT),FEMALE,20.84
2007,IC_GEN_MGTL,% (PERCENT),FEMALE,16.12
2008,IC_GEN_MGTL,% (PERCENT),FEMALE,22.95
2009,IC_GEN_MGTL,% (PERCENT),FEMALE,25.25
2010,IC_GEN_MGTL,% (PERCENT),FEMALE,23.83
2011,IC_GEN_MGTL,% (PERCENT),FEMALE,21.42
2012,IC_GEN_MGTL,% (PERCENT),FEMALE,24.16
2013,IC_GEN_MGTL,% (PERCENT),FEMALE,22.79
2014,IC_GEN_MGTL,% (PERCENT),FEMALE,24.15
2015,IC_GEN_MGTL,% (PERCENT),FEMALE,22.0
2016,IC_GEN_MGTL,% (PERCENT),FEMALE,21.59
2017,IC_GEN_MGTL,% (PERCENT),FEMALE,20.29
2018,IC_GEN_MGTL,% (PERCENT),FEMALE,25.92
2019,IC_GEN_MGTL,% (PERCENT),FEMALE,24.32
2006,IC_GEN_MGTN,% (PERCENT),FEMALE,23.73
2007,IC_GEN_MGTN,% (PERCENT),FEMALE,20.27
2008,IC_GEN_MGTN,% (PERCENT),FEMALE,33.35
2009,IC_GEN_MGTN,% (PERCENT),FEMALE,27.67
2011,IC_GEN_MGTN,% (PERCENT),FEMALE,22.6
2012,IC_GEN_MGTN,% (PERCENT),FEMALE,23.03
2013,IC_GEN_MGTN,% (PERCENT),FEMALE,21.42
2014,IC_GEN_MGTN,% (PERCENT),FEMALE,24.16
2015,IC_GEN_MGTN,% (PERCENT),FEMALE,24.18
2016,IC_GEN_MGTN,% (PERCENT),FEMALE,18.78
2017,IC_GEN_MGTN,% (PERCENT),FEMALE,18.83
2018,IC_GEN_MGTN,% (PERCENT),FEMALE,26.12
2019,IC_GEN_MGTN,% (PERCENT),FEMALE,25.43
