Year,Series,Units,AGE,SEX,Value
2017,SH_SUD_ALCOL,PT,Y_GE15,,6
2017,SH_SUD_ALCOL,PT,Y_GE15,F,2.2
2017,SH_SUD_ALCOL,PT,Y_GE15,M,9.8
