Year,Series,Units,Age,Sex,Value
2000,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.37127
2005,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,7.2005
2010,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,7.32246
2015,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.92078
2018,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,7.14742
2000,SH_ALC_CONSPT,LITRES,15+,FEMALE,2.41906
2005,SH_ALC_CONSPT,LITRES,15+,FEMALE,2.75297
2010,SH_ALC_CONSPT,LITRES,15+,FEMALE,2.80508
2015,SH_ALC_CONSPT,LITRES,15+,FEMALE,2.61694
2018,SH_ALC_CONSPT,LITRES,15+,FEMALE,2.70457
2000,SH_ALC_CONSPT,LITRES,15+,MALE,10.56469
2005,SH_ALC_CONSPT,LITRES,15+,MALE,11.90028
2010,SH_ALC_CONSPT,LITRES,15+,MALE,12.08914
2015,SH_ALC_CONSPT,LITRES,15+,MALE,11.45989
2018,SH_ALC_CONSPT,LITRES,15+,MALE,11.82842
