Year,Series,Units,AGE,Value
2000,SH_STA_OVRWGTN,THOUSANDS,Y0T4,38.20568
2006,SH_STA_OVRWGTN,THOUSANDS,Y0T4,42.34844
2012,SH_STA_OVRWGTN,THOUSANDS,Y0T4,31.75099
2000,SH_STA_WASTEN,THOUSANDS,Y0T4,17.26603
2006,SH_STA_WASTEN,THOUSANDS,Y0T4,6.65197
2012,SH_STA_WASTEN,THOUSANDS,Y0T4,4.29692
2000,SH_STA_OVRWGT,PT,Y0T4,16.3
2006,SH_STA_OVRWGT,PT,Y0T4,25.7
2012,SH_STA_OVRWGT,PT,Y0T4,17.4
2000,SH_STA_WASTE,PT,Y0T4,7.36389
2006,SH_STA_WASTE,PT,Y0T4,4.03126
2012,SH_STA_WASTE,PT,Y0T4,2.34816
